Wall time,Step,Value
1655384473.5653892,0,1.6282676458358765
1655384669.3553314,1,1.2023624181747437
1655384866.9710937,2,0.9949825406074524
1655385062.6931295,3,0.8491523265838623
1655385259.5445082,4,0.7442749738693237
1655385455.43237,5,0.642560601234436
1655385651.4095352,6,0.569518506526947
1655385848.5354412,7,0.49515217542648315
1655386044.047838,8,0.43022242188453674
1655386240.707338,9,0.37517979741096497
1655386436.3308444,10,0.32675251364707947
1655386632.9523706,11,0.2869805097579956
1655386829.7474504,12,0.25045913457870483
1655387025.3311732,13,0.22134539484977722
1655387221.9779983,14,0.1943957656621933
1655387417.7813244,15,0.1820482313632965
1655387614.6192691,16,0.15800271928310394
1655387810.8095257,17,0.14341534674167633
1655388006.279854,18,0.12735749781131744
1655388202.8107839,19,0.12225211411714554
1655388398.9761055,20,0.1145096868276596
1655388595.9038303,21,0.1034921333193779
1655388791.5920897,22,0.10091014206409454
1655388987.2023537,23,0.09780050814151764
1655389183.9181132,24,0.0925690308213234
1655389380.5855007,25,0.08740682154893875
1655389577.0588686,26,0.08127471804618835
1655389772.6167245,27,0.0870610699057579
1655389968.268978,28,0.07542449980974197
1655390165.3946087,29,0.0732676237821579
1655390361.6195498,30,0.06468269973993301
1655390558.3050594,31,0.0635545402765274
1655390753.9419315,32,0.07052729278802872
1655390949.6108704,33,0.07399703562259674
1655391147.0480218,34,0.06961216032505035
1655391342.826827,35,0.06533947587013245
1655391539.443673,36,0.06933683156967163
1655391735.191594,37,0.06237928941845894
1655391930.2561228,38,0.06170317903161049
1655392101.533539,39,0.0650651603937149
1655392269.4202209,40,0.06574426591396332
1655392438.4854426,41,0.06416821479797363
1655392606.3375404,42,0.0634567067027092
1655392774.304567,43,0.0574839785695076
1655392944.1777534,44,0.05209813266992569
1655393112.1589715,45,0.058882467448711395
1655393281.1417177,46,0.060795050114393234
1655393449.080682,47,0.06389059126377106
1655393617.5174193,48,0.05248865857720375
1655393787.0867846,49,0.05283113941550255
1655393946.5465598,50,0.05775875598192215
1655394088.705015,51,0.061968304216861725
1655394228.9645553,52,0.055583029985427856
1655394370.147688,53,0.05139707028865814
1655394511.5864189,54,0.06009742617607117
1655394651.876264,55,0.055976781994104385
1655394791.2913983,56,0.05598164722323418
1655394907.8855932,57,0.054883863776922226
1655395001.4272401,58,0.05945557728409767
1655395091.924303,59,0.06411826610565186
1655395181.5300982,60,0.05449992045760155
1655395273.2987044,61,0.05579174682497978
1655395362.8881333,62,0.05556805804371834
1655395454.4202545,63,0.06272637844085693
1655395544.2124724,64,0.04797099530696869
1655395633.8601487,65,0.053462568670511246
1655395725.539605,66,0.05091727524995804
1655395815.1971998,67,0.05351552367210388
1655395906.952466,68,0.06220601871609688
1655395996.5378983,69,0.05556563287973404
1655396086.1716948,70,0.060226473957300186
1655396178.0627964,71,0.05219216272234917
1655396267.6377592,72,0.051509760320186615
1655396359.493472,73,0.05634588748216629
1655396449.0068853,74,0.05772918835282326
1655396538.6514022,75,0.05184078961610794
1655396630.4030457,76,0.057003505527973175
1655396719.8599837,77,0.05531170219182968
1655396811.6529536,78,0.0564471036195755
1655396901.2029867,79,0.05940701812505722
1655396990.6590133,80,0.05616544559597969
1655397082.3930027,81,0.04959011450409889
1655397172.0894024,82,0.053894199430942535
1655397263.8512821,83,0.05337844416499138
1655397353.4109433,84,0.04882873222231865
1655397443.153835,85,0.06058788672089577
1655397534.8365054,86,0.05066927149891853
1655397624.4221394,87,0.05625900253653526
1655397703.7657614,88,0.054094474762678146
1655397791.3092246,89,0.056939028203487396
1655397882.1876855,90,0.05570501834154129
1655397973.279126,91,0.05174216255545616
1655398063.5494943,92,0.045592449605464935
1655398155.3337026,93,0.05212310329079628
1655398245.5220225,94,0.06601987034082413
1655398336.6738098,95,0.04834293574094772
1655398427.5413685,96,0.05857823044061661
1655398517.7211525,97,0.05377303808927536
1655398609.395823,98,0.05114299803972244
1655398699.7912555,99,0.05446966364979744
